[root@devel kafka_2.11-0.10.1.0]# bin/zookeeper-server-start.sh config/zookeeper.properties
OpenJDK 64-Bit Server VM warning: If the number of processors is expected to increase from one, then you should configure the number of parallel GC threads appropriately using -XX:ParallelGCThreads=N
[2016-11-28 12:06:51,975] INFO Server environment:java.class.path=:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/aopalliance-repackaged-2.4.0-b34.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/argparse4j-0.5.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/connect-api-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/connect-file-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/connect-json-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/connect-runtime-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/guava-18.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/hk2-api-2.4.0-b34.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/hk2-locator-2.4.0-b34.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/hk2-utils-2.4.0-b34.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jackson-annotations-2.6.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jackson-core-2.6.3.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jackson-databind-2.6.3.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jackson-jaxrs-base-2.6.3.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jackson-jaxrs-json-provider-2.6.3.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jackson-module-jaxb-annotations-2.6.3.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/javassist-3.18.2-GA.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/javax.annotation-api-1.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/javax.inject-1.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/javax.inject-2.4.0-b34.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/javax.servlet-api-3.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/javax.ws.rs-api-2.0.1.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-client-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-common-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-container-servlet-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-container-servlet-core-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-guava-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-media-jaxb-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jersey-server-2.22.2.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-continuation-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-http-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-io-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-security-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-server-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-servlet-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-servlets-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jetty-util-9.2.15.v20160210.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/jopt-simple-4.9.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka_2.11-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka_2.11-0.10.1.0-sources.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka_2.11-0.10.1.0-test-sources.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka-clients-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka-log4j-appender-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka-streams-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka-streams-examples-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/kafka-tools-0.10.1.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/log4j-1.2.17.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/lz4-1.3.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/metrics-core-2.2.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/osgi-resource-locator-1.0.1.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/reflections-0.9.10.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/rocksdbjni-4.9.0.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/scala-library-2.11.8.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/scala-parser-combinators_2.11-1.0.4.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/slf4j-api-1.7.21.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/slf4j-log4j12-1.7.21.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/snappy-java-1.1.2.6.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/validation-api-1.1.0.Final.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/zkclient-0.9.jar:/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0/bin/../libs/zookeeper-3.4.8.jar (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,975] INFO Server environment:java.library.path=:/usr/local/lib:/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,975] INFO Server environment:java.io.tmpdir=/tmp (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,975] INFO Server environment:java.compiler=<NA> (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,975] INFO Server environment:os.name=Linux (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,975] INFO Server environment:os.arch=amd64 (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,975] INFO Server environment:os.version=2.6.32-431.el6.x86_64 (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,981] INFO Server environment:user.name=root (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,981] INFO Server environment:user.home=/root (org.apache.zookeeper.server.ZooKeeperServer)
[2016-11-28 12:06:51,982] INFO Server environment:user.dir=/data/github/cabin/small_projects/kafka/kafka_2.11-0.10.1.0 (org.apache.zookeeper.server.ZooKeeperServer)
